transaction_id,account_id,amount,transaction_type,timestamp,location
TXN202600001,ACC1043,31916.73,CREDIT,2026-08-20 18:37:50,Mumbai
TXN202600002,ACC1003,6327.22,TRANSFER,2026-08-20 18:38:20,Delhi
TXN202600003,ACC1044,4607.52,CREDIT,2026-08-20 18:38:50,Bangalore
TXN202600004,ACC1049,20373.07,TRANSFER,2026-08-20 18:39:20,Bangalore
TXN202600005,ACC1048,1538.06,DEBIT,2026-08-20 18:39:50,Mumbai
TXN202600006,ACC1049,25150.08,TRANSFER,2026-08-20 18:40:20,Bangalore
TXN202600007,ACC1015,14802.39,CREDIT,2026-08-20 18:40:50,Chennai
TXN202600008,ACC1001,4566.62,CREDIT,2026-08-20 18:41:20,Bangalore
TXN202600009,ACC1038,33353.97,TRANSFER,2026-08-20 18:41:50,Mumbai
TXN202600010,ACC1020,2483.08,TRANSFER,2026-08-20 18:42:20,Bangalore
TXN202600011,ACC1006,11543.76,TRANSFER,2026-08-20 18:42:50,Chennai
TXN202600012,ACC1018,6710.99,DEBIT,2026-08-20 18:43:20,Chennai
TXN202600013,ACC1020,38849.68,TRANSFER,2026-08-20 18:43:50,Bangalore
TXN202600014,ACC1024,2481.52,DEBIT,2026-08-20 18:44:20,Hyderabad
TXN202600015,ACC1019,18451.63,TRANSFER,2026-08-20 18:44:50,Hyderabad
TXN202600016,ACC1003,2982.09,TRANSFER,2026-08-20 18:45:20,Hyderabad
TXN202600017,ACC1030,3668.25,CREDIT,2026-08-20 18:45:50,Chennai
TXN202600018,ACC1024,19003.35,CREDIT,2026-08-20 18:46:20,Delhi
TXN202600019,ACC1046,4185.71,TRANSFER,2026-08-20 18:46:50,Mumbai
TXN202600020,ACC1024,10866.27,DEBIT,2026-08-20 18:47:20,Hyderabad
TXN202600021,ACC1029,2901.38,CREDIT,2026-08-20 18:47:50,Chennai
TXN202600022,ACC1003,10937.55,TRANSFER,2026-08-20 18:48:20,Bangalore
TXN202600023,ACC1050,38962.65,CREDIT,2026-08-20 18:48:50,Chennai
TXN202600024,ACC1011,10881.48,CREDIT,2026-08-20 18:49:20,Delhi
TXN202600025,ACC1028,48365.29,CREDIT,2026-08-20 18:49:50,Hyderabad
TXN202600026,ACC1034,33511.23,TRANSFER,2026-08-20 18:50:20,Bangalore
TXN202600027,ACC1023,18951.34,CREDIT,2026-08-20 18:50:50,Chennai
TXN202600028,ACC1014,30252.96,DEBIT,2026-08-20 18:51:20,Mumbai
TXN202600029,ACC1005,29303.63,CREDIT,2026-08-20 18:51:50,Hyderabad
TXN202600030,ACC1007,28135.18,CREDIT,2026-08-20 18:52:20,Mumbai
TXN202600031,ACC1020,23544.17,DEBIT,2026-08-20 18:52:50,Mumbai
TXN202600032,ACC1013,10210.41,TRANSFER,2026-08-20 18:53:20,Hyderabad
TXN202600033,ACC1009,12446.33,CREDIT,2026-08-20 18:53:50,Mumbai
TXN202600034,ACC1037,30313.78,CREDIT,2026-08-20 18:54:20,Mumbai
TXN202600035,ACC1034,33892.73,DEBIT,2026-08-20 18:54:50,Chennai
TXN202600036,ACC1031,1816.58,DEBIT,2026-08-20 18:55:20,Hyderabad
TXN202600037,ACC1028,36157.36,CREDIT,2026-08-20 18:55:50,Mumbai
TXN202600038,ACC1015,24546.95,TRANSFER,2026-08-20 18:56:20,Bangalore
TXN202600039,ACC1024,46986.06,TRANSFER,2026-08-20 18:56:50,Chennai
TXN202600040,ACC1009,41996.16,CREDIT,2026-08-20 18:57:20,Mumbai
TXN202600041,ACC1027,10263.28,DEBIT,2026-08-20 18:57:50,Bangalore
TXN202600042,ACC1013,12601.58,DEBIT,2026-08-20 18:58:20,Bangalore
TXN202600043,ACC1029,29166.08,DEBIT,2026-08-20 18:58:50,Delhi
TXN202600044,ACC1044,6133.86,DEBIT,2026-08-20 18:59:20,Mumbai
TXN202600045,ACC1010,3991.01,TRANSFER,2026-08-20 18:59:50,Chennai
TXN202600046,ACC1021,16756.5,TRANSFER,2026-08-20 19:00:20,Bangalore
TXN202600047,ACC1012,2733.36,CREDIT,2026-08-20 19:00:50,Bangalore
TXN202600048,ACC1026,48421.43,CREDIT,2026-08-20 19:01:20,Delhi
TXN202600049,ACC1037,28318.0,TRANSFER,2026-08-20 19:01:50,Chennai
TXN202600050,ACC1004,1898.32,DEBIT,2026-08-20 19:02:20,Mumbai
TXN202600051,ACC1009,8256.3,CREDIT,2026-08-20 19:02:50,Delhi
TXN202600052,ACC1050,34166.25,CREDIT,2026-08-20 19:03:20,Chennai
TXN202600053,ACC1012,21137.8,DEBIT,2026-08-20 19:03:50,Delhi
TXN202600054,ACC1041,43441.07,CREDIT,2026-08-20 19:04:20,Chennai
TXN202600055,ACC1050,47636.0,DEBIT,2026-08-20 19:04:50,Delhi
TXN202600056,ACC1029,5713.02,DEBIT,2026-08-20 19:05:20,Mumbai
TXN202600057,ACC1032,19956.63,TRANSFER,2026-08-20 19:05:50,Bangalore
TXN202600058,ACC1020,41472.76,CREDIT,2026-08-20 19:06:20,Bangalore
TXN202600059,ACC1029,40939.11,CREDIT,2026-08-20 19:06:50,Hyderabad
TXN202600060,ACC1011,44189.21,CREDIT,2026-08-20 19:07:20,Hyderabad
TXN202600061,ACC1032,8685.09,DEBIT,2026-08-20 19:07:50,Bangalore
TXN202600062,ACC1009,32495.15,TRANSFER,2026-08-20 19:08:20,Chennai
TXN202600063,ACC1009,48993.37,TRANSFER,2026-08-20 19:08:50,Bangalore
TXN202600064,ACC1025,2031.97,CREDIT,2026-08-20 19:09:20,Hyderabad
TXN202600065,ACC1011,233.19,TRANSFER,2026-08-20 19:09:50,Bangalore
TXN202600066,ACC1050,18542.84,TRANSFER,2026-08-20 19:10:20,Delhi
TXN202600067,ACC1049,40956.75,TRANSFER,2026-08-20 19:10:50,Bangalore
TXN202600068,ACC1042,11294.66,DEBIT,2026-08-20 19:11:20,Mumbai
TXN202600069,ACC1046,37109.97,DEBIT,2026-08-20 19:11:50,Delhi
TXN202600070,ACC1041,26541.55,TRANSFER,2026-08-20 19:12:20,Mumbai
TXN202600071,ACC1043,29071.85,TRANSFER,2026-08-20 19:12:50,Chennai
TXN202600072,ACC1047,45836.3,CREDIT,2026-08-20 19:13:20,Hyderabad
TXN202600073,ACC1020,16110.49,CREDIT,2026-08-20 19:13:50,Mumbai
TXN202600074,ACC1027,15816.95,DEBIT,2026-08-20 19:14:20,Bangalore
TXN202600075,ACC1033,36130.09,DEBIT,2026-08-20 19:14:50,Chennai
TXN202600076,ACC1048,20297.51,DEBIT,2026-08-20 19:15:20,Mumbai
TXN202600077,ACC1021,26887.0,CREDIT,2026-08-20 19:15:50,Delhi
TXN202600078,ACC1008,1628.2,DEBIT,2026-08-20 19:16:20,Bangalore
TXN202600079,ACC1023,19432.99,TRANSFER,2026-08-20 19:16:50,Hyderabad
TXN202600080,ACC1024,33801.64,TRANSFER,2026-08-20 19:17:20,Delhi
TXN202600081,ACC1001,38589.97,TRANSFER,2026-08-20 19:17:50,Delhi
TXN202600082,ACC1030,21132.57,DEBIT,2026-08-20 19:18:20,Mumbai
TXN202600083,ACC1046,38914.58,CREDIT,2026-08-20 19:18:50,Bangalore
TXN202600084,ACC1001,30454.09,DEBIT,2026-08-20 19:19:20,Delhi
TXN202600085,ACC1039,16349.37,DEBIT,2026-08-20 19:19:50,Chennai
TXN202600086,ACC1002,32972.0,TRANSFER,2026-08-20 19:20:20,Bangalore
TXN202600087,ACC1000,27167.94,DEBIT,2026-08-20 19:20:50,Delhi
TXN202600088,ACC1042,44636.05,TRANSFER,2026-08-20 19:21:20,Bangalore
TXN202600089,ACC1015,2875.79,TRANSFER,2026-08-20 19:21:50,Chennai
TXN202600090,ACC1045,40926.46,DEBIT,2026-08-20 19:22:20,Delhi
TXN202600091,ACC1042,24587.34,CREDIT,2026-08-20 19:22:50,Chennai
TXN202600092,ACC1031,40318.17,TRANSFER,2026-08-20 19:23:20,Hyderabad
TXN202600093,ACC1018,8353.27,DEBIT,2026-08-20 19:23:50,Mumbai
TXN202600094,ACC1043,21494.66,DEBIT,2026-08-20 19:24:20,Bangalore
TXN202600095,ACC1026,29964.82,TRANSFER,2026-08-20 19:24:50,Chennai
TXN202600096,ACC1018,36001.87,TRANSFER,2026-08-20 19:25:20,Mumbai
TXN202600097,ACC1006,44623.02,TRANSFER,2026-08-20 19:25:50,Bangalore
TXN202600098,ACC1043,30873.08,DEBIT,2026-08-20 19:26:20,Chennai
TXN202600099,ACC1000,38412.9,CREDIT,2026-08-20 19:26:50,Mumbai
TXN202600100,ACC1046,34885.38,CREDIT,2026-08-20 19:27:20,Chennai
TXN202600101,ACC1014,17942.92,TRANSFER,2026-08-20 19:27:50,Chennai
TXN202600102,ACC1048,5378.23,CREDIT,2026-08-20 19:28:20,Delhi
TXN202600103,ACC1040,46031.28,CREDIT,2026-08-20 19:28:50,Bangalore
TXN202600104,ACC1004,32065.24,CREDIT,2026-08-20 19:29:20,Chennai
TXN202600105,ACC1028,1814.66,DEBIT,2026-08-20 19:29:50,Chennai
TXN202600106,ACC1014,28558.22,CREDIT,2026-08-20 19:30:20,Delhi
TXN202600107,ACC1007,4808.44,DEBIT,2026-08-20 19:30:50,Hyderabad
TXN202600108,ACC1014,19745.46,DEBIT,2026-08-20 19:31:20,Delhi
TXN202600109,ACC1029,642.06,DEBIT,2026-08-20 19:31:50,Delhi
TXN202600110,ACC1002,48093.49,CREDIT,2026-08-20 19:32:20,Hyderabad
TXN202600111,ACC1042,14982.48,TRANSFER,2026-08-20 19:32:50,Delhi
TXN202600112,ACC1029,8680.25,TRANSFER,2026-08-20 19:33:20,Mumbai
TXN202600113,ACC1016,6829.54,CREDIT,2026-08-20 19:33:50,Hyderabad
TXN202600114,ACC1049,45962.15,CREDIT,2026-08-20 19:34:20,Mumbai
TXN202600115,ACC1023,17543.18,CREDIT,2026-08-20 19:34:50,Hyderabad
TXN202600116,ACC1015,12183.49,DEBIT,2026-08-20 19:35:20,Mumbai
TXN202600117,ACC1017,9143.97,CREDIT,2026-08-20 19:35:50,Bangalore
TXN202600118,ACC1000,9592.39,CREDIT,2026-08-20 19:36:20,Chennai
TXN202600119,ACC1034,41885.89,CREDIT,2026-08-20 19:36:50,Bangalore
TXN202600120,ACC1039,12252.6,CREDIT,2026-08-20 19:37:20,Chennai
TXN202600121,ACC1011,34155.78,CREDIT,2026-08-20 19:37:50,Delhi
TXN202600122,ACC1019,17329.79,DEBIT,2026-08-20 19:38:20,Bangalore
